CMDLINE C:\ProgramData\miniconda3\envs\fairseq\python.exe scripts/animal2vec_manifest.py D:\Data\MeerKAT\MeerKAT_10s_2024-06-12 --dest D:\Data\MeerKAT\MeerKAT_10s_2024-06-12\manifest --ext wav --valid-percent 0.2 --n-split 5
MEM 144.304688 1758234172.9567
MEM 144.304688 1758234173.0678
MEM 144.304688 1758234173.1783
MEM 144.304688 1758234173.2892
MEM 144.304688 1758234173.3999
MEM 144.304688 1758234173.5113
MEM 144.304688 1758234173.6232
MEM 144.304688 1758234173.7352
MEM 144.304688 1758234173.8463
MEM 144.304688 1758234173.9584
MEM 144.304688 1758234174.0696
MEM 144.304688 1758234174.1814
MEM 144.304688 1758234174.2926
MEM 144.304688 1758234174.4031
MEM 144.304688 1758234174.5142
MEM 144.304688 1758234174.6250
MEM 144.304688 1758234174.7363
MEM 144.304688 1758234174.8478
MEM 144.304688 1758234174.9581
MEM 144.304688 1758234175.0701
MEM 144.304688 1758234175.1808
MEM 144.304688 1758234175.2924
MEM 144.304688 1758234175.4032
MEM 144.304688 1758234175.5147
MEM 144.304688 1758234175.6263
MEM 144.304688 1758234175.7371
MEM 144.304688 1758234175.8471
MEM 144.304688 1758234175.9586
MEM 144.304688 1758234176.0699
MEM 144.304688 1758234176.1815
MEM 144.304688 1758234176.2925
MEM 144.304688 1758234176.4036
MEM 144.304688 1758234176.5142
MEM 144.304688 1758234176.6243
MEM 144.304688 1758234176.7360
MEM 144.304688 1758234176.8472
MEM 144.304688 1758234176.9579
MEM 144.304688 1758234177.0696
MEM 144.304688 1758234177.1816
MEM 144.304688 1758234177.2928
MEM 144.304688 1758234177.4041
MEM 144.304688 1758234177.5153
MEM 144.304688 1758234177.6261
MEM 144.304688 1758234177.7374
MEM 144.304688 1758234177.8485
MEM 144.304688 1758234177.9594
MEM 144.304688 1758234178.0713
MEM 144.304688 1758234178.1825
MEM 144.304688 1758234178.2937
MEM 144.304688 1758234178.4056
MEM 144.304688 1758234178.5165
MEM 144.304688 1758234178.6279
MEM 144.304688 1758234178.7380
MEM 144.304688 1758234178.8486
